Date,High price,Low price,Closing price,Average price,Total volume,Turnover,
2002-09-25,466.88,449.46,459.60,,,,
2002-09-24,456.89,433.62,451.83,,,,
2002-09-23,480.10,454.68,455.92,,,,
2002-09-20,487.86,474.28,475.64,,,,
2002-09-19,489.59,474.12,478.84,,,,
2002-09-18,504.74,484.35,485.79,,,,
2002-09-17,520.67,504.14,505.36,,,,
2002-09-16,515.49,508.32,510.54,,,,
2002-09-13,517.50,504.26,511.80,,,,
2002-09-12,531.68,517.85,518.53,,,,
2002-09-11,532.80,513.68,532.71,,,,
2002-09-10,519.48,510.40,515.95,,,,
2002-09-09,516.35,506.35,510.37,,,,
2002-09-06,517.26,502.99,513.18,,,,
2002-09-05,510.61,493.04,501.81,,,,
2002-09-04,506.22,497.10,503.32,,,,
2002-09-03,521.19,501.04,503.26,,,,
2002-09-02,526.68,520.12,523.54,,,,
2002-08-30,529.61,514.88,525.83,,,,
2002-08-29,528.78,517.38,523.26,,,,
2002-08-28,538.66,527.36,529.81,,,,
2002-08-27,545.28,534.18,539.06,,,,
2002-08-26,553.92,534.22,537.95,,,,
2002-08-23,561.99,545.26,546.55,,,,
2002-08-22,564.85,541.97,564.14,,,,
2002-08-21,550.29,524.66,537.84,,,,
2002-08-20,525.74,517.35,522.48,,,,
2002-08-19,524.56,506.54,523.19,,,,
2002-08-16,526.28,511.74,519.00,,,,
2002-08-15,524.15,512.26,523.04,,,,
